Date,Carrier,FlightNumber,DepAirport,DepCity,DepState,ArrAirport,ArrCity,ArrState,DepTime,DepDelay,ArrTIme,ArrDelay,Cancelled,CancelReason,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,ArrStatus,DepStatus,DelayCause
Dec,American,866,ORD,"Chicago, IL",IL,CLT,"Charlotte, NC",NC,1548,2,1903,18,0,NA,2,0,16,0,0,Late,Late,Carrier
Dec,American,2220,ORD,"Chicago, IL",IL,DFW,"Dallas/Fort Worth, TX",TX,1044,29,1320,26,0,NA,1,0,25,0,0,Late,Late,Carrier
Dec,American,2228,ORD,"Chicago, IL",IL,TUS,"Tucson, AZ",AZ,2215,0,0051,-14,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,American,2247,ORD,"Chicago, IL",IL,PDX,"Portland, OR",OR,1751,-4,2026,-7,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,American,2259,DTW,"Detroit, MI",MI,ORD,"Chicago, IL",IL,0804,-6,0914,20,0,NA,0,0,20,0,0,Late,On Time,NA
Dec,American,2364,ORD,"Chicago, IL",IL,LAX,"Los Angeles, CA",CA,1629,-6,1848,-22,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,JetBlue,563,ORD,"Chicago, IL",IL,FLL,"Fort Lauderdale, FL",FL,0707,7,1137,21,0,NA,7,0,14,0,0,Late,Late,Carrier
Dec,JetBlue,906,ORD,"Chicago, IL",IL,JFK,"New York, NY",NY,1021,-1,1339,10,0,NA,NA,NA,NA,NA,NA,Late,On Time,NA
Dec,JetBlue,2236,MSP,"Minneapolis, MN",MN,BOS,"Boston, MA",MA,0545,0,0956,18,0,NA,0,0,18,0,0,Late,On Time,NA
Dec,Delta,589,MSP,"Minneapolis, MN",MN,SEA,"Seattle, WA",WA,0921,-4,1132,-8,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,Delta,689,MSP,"Minneapolis, MN",MN,FAR,"Fargo, ND",ND,2224,-6,2335,-14,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,Delta,690,DTW,"Detroit, MI",MI,BUF,"Buffalo, NY",NY,2219,-6,2311,-41,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,Delta,827,MSP,"Minneapolis, MN",MN,CVG,"Cincinnati, OH",KY,0716,3,1004,-15,0,NA,NA,NA,NA,NA,NA,On Time,Late,NA
Dec,Delta,852,DTW,"Detroit, MI",MI,ATL,"Atlanta, GA",GA,2039,14,2249,-6,0,NA,NA,NA,NA,NA,NA,On Time,Late,NA
Dec,Delta,859,MSP,"Minneapolis, MN",MN,DTW,"Detroit, MI",MI,2022,-3,2308,-17,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,Delta,905,MSP,"Minneapolis, MN",MN,MSO,"Missoula, MT",MT,2016,-5,2159,-37,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,Delta,935,DTW,"Detroit, MI",MI,GRR,"Grand Rapids, MI",MI,1806,-4,1856,-22,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,Delta,1060,DTW,"Detroit, MI",MI,FLL,"Fort Lauderdale, FL",FL,1351,1,1712,20,0,NA,0,0,20,0,0,Late,Late,NA
Dec,Delta,1083,DTW,"Detroit, MI",MI,MSP,"Minneapolis, MN",MN,2027,-9,2106,-49,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
